uri,cls,label
<http://edukg.org/knowledge/3.0/instance/politics#main-E804>,<http://www.w3.org/2002/07/owl#NamedIndividual>,活力
<http://edukg.org/knowledge/3.0/instance/politics#main-E572>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,艰苦奋斗
<http://edukg.org/knowledge/3.0/instance/politics#main-E4009>,<http://www.w3.org/2002/07/owl#NamedIndividual>,政治制度
<http://edukg.org/knowledge/3.0/instance/politics#main-E3888>,<http://www.w3.org/2002/07/owl#NamedIndividual>,法定继承权
<http://edukg.org/knowledge/3.0/instance/politics#main-E1859>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,青少年禁毒
<http://edukg.org/knowledge/3.0/instance/politics#main-E3318>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,经济全球化
<http://edukg.org/knowledge/3.0/instance/politics#main-E1492>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,知情权
<http://edukg.org/knowledge/3.0/instance/politics#main-E2998>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,监督权
<http://edukg.org/knowledge/3.0/instance/politics#main-E3273>,<http://www.w3.org/2002/07/owl#NamedIndividual>,劳动
<http://edukg.org/knowledge/3.0/instance/politics#main-E466>,<http://www.w3.org/2002/07/owl#NamedIndividual>,美丽中国
<http://edukg.org/knowledge/3.0/instance/politics#main-E2416>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,主要矛盾
<http://edukg.org/knowledge/3.0/instance/politics#main-E3468>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,政府的性质
<http://edukg.org/knowledge/3.0/instance/politics#main-E2431>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,双赢
<http://edukg.org/knowledge/3.0/instance/politics#main-E4154>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,团结就是力量
<http://edukg.org/knowledge/3.0/instance/politics#main-E2847>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,人际交往
<http://edukg.org/knowledge/3.0/instance/politics#main-E3420>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,其他劳动产品
<http://edukg.org/knowledge/3.0/instance/politics#main-E1628>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,犯罪
<http://edukg.org/knowledge/3.0/instance/politics#main-E2147>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,自尊
<http://edukg.org/knowledge/3.0/instance/politics#main-E816>,<http://www.w3.org/2002/07/owl#NamedIndividual>,对外开放
<http://edukg.org/knowledge/3.0/instance/politics#main-E824>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,企业兼并
<http://edukg.org/knowledge/3.0/instance/politics#main-E947>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,政治人物
<http://edukg.org/knowledge/3.0/instance/politics#main-E3038>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,学习压力
<http://edukg.org/knowledge/3.0/instance/politics#main-E937>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,依法纳税
<http://edukg.org/knowledge/3.0/instance/politics#main-E319>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,未成年人
<http://edukg.org/knowledge/3.0/instance/politics#main-E218>,<http://edukg.org/knowledge/3.0/class/politics#main-C17>,中国共产党
<http://edukg.org/knowledge/3.0/instance/politics#main-E3293>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,行政复议
<http://edukg.org/knowledge/3.0/instance/politics#main-E263>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,人民检察院
<http://edukg.org/knowledge/3.0/instance/politics#main-E1334>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,理想
<http://edukg.org/knowledge/3.0/instance/politics#main-E1869>,<http://www.w3.org/2002/07/owl#NamedIndividual>,定律
<http://edukg.org/knowledge/3.0/instance/politics#main-E198>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,文化
<http://edukg.org/knowledge/3.0/instance/politics#main-E3738>,<http://www.w3.org/2002/07/owl#NamedIndividual>,管束
<http://edukg.org/knowledge/3.0/instance/politics#main-E765>,<http://edukg.org/knowledge/3.0/class/politics#main-C34>,保持民族性
<http://edukg.org/knowledge/3.0/instance/politics#main-E4384>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,哲学基本问题
<http://edukg.org/knowledge/3.0/instance/politics#main-E2636>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,世界观
<http://edukg.org/knowledge/3.0/instance/politics#main-E3009>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,财政收支
<http://edukg.org/knowledge/3.0/instance/politics#main-E2821>,<http://edukg.org/knowledge/3.0/class/politics#main-C9>,分配制度
<http://edukg.org/knowledge/3.0/instance/politics#main-E2064>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,价值观
<http://edukg.org/knowledge/3.0/instance/politics#main-E339>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,平等权
<http://edukg.org/knowledge/3.0/instance/politics#main-E3517>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,时代潮流
<http://edukg.org/knowledge/3.0/instance/politics#main-E987>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,流转税
<http://edukg.org/knowledge/3.0/instance/politics#main-E2830>,<http://www.w3.org/2002/07/owl#NamedIndividual>,发泄情绪
<http://edukg.org/knowledge/3.0/instance/politics#main-E4578>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,世界货币
<http://edukg.org/knowledge/3.0/instance/politics#main-E3768>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,民主选举
<http://edukg.org/knowledge/3.0/instance/politics#main-E3397>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,价值
<http://edukg.org/knowledge/3.0/instance/politics#main-E892>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,帮助
<http://edukg.org/knowledge/3.0/instance/politics#main-E4014>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,年迈
<http://edukg.org/knowledge/3.0/instance/politics#main-E554>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,处事果断
<http://edukg.org/knowledge/3.0/instance/politics#main-E4216>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,社会主义法律
<http://edukg.org/knowledge/3.0/instance/politics#main-E2433>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,腐朽文化
<http://edukg.org/knowledge/3.0/instance/politics#main-E1743>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,企业联合
<http://edukg.org/knowledge/3.0/instance/politics#main-E3531>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,文化融合
<http://edukg.org/knowledge/3.0/instance/politics#main-E4035>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,企业组织形式
<http://edukg.org/knowledge/3.0/instance/politics#main-E1659>,<http://www.w3.org/2002/07/owl#NamedIndividual>,文化产业
<http://edukg.org/knowledge/3.0/instance/politics#main-E3401>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,成长不烦恼
<http://edukg.org/knowledge/3.0/instance/politics#main-E3008>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,“引进来”
<http://edukg.org/knowledge/3.0/instance/politics#main-E300>,<http://edukg.org/knowledge/3.0/class/politics#main-C31>,质变
<http://edukg.org/knowledge/3.0/instance/politics#main-E3932>,<http://www.w3.org/2002/07/owl#NamedIndividual>,像获酬权
<http://edukg.org/knowledge/3.0/instance/politics#main-E2671>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,受教育权
<http://edukg.org/knowledge/3.0/instance/politics#main-E4710>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,聊天交友
<http://edukg.org/knowledge/3.0/instance/politics#main-E1998>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,联系
<http://edukg.org/knowledge/3.0/instance/politics#main-E2316>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,对待生命
<http://edukg.org/knowledge/3.0/instance/politics#main-E1435>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,消费面面观
<http://edukg.org/knowledge/3.0/instance/politics#main-E1557>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,国际政治
<http://edukg.org/knowledge/3.0/instance/politics#main-E2997>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,学习
<http://edukg.org/knowledge/3.0/instance/politics#main-E3137>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,井冈山精神
<http://edukg.org/knowledge/3.0/instance/politics#main-E4703>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,收益权
<http://edukg.org/knowledge/3.0/instance/politics#main-E3645>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,战胜挫折
<http://edukg.org/knowledge/3.0/instance/politics#main-E551>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,劳动创造了人类
<http://edukg.org/knowledge/3.0/instance/politics#main-E1658>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,新型师生关系
<http://edukg.org/knowledge/3.0/instance/politics#main-E1804>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,其他国家机关
<http://edukg.org/knowledge/3.0/instance/politics#main-E400>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,职业精神
<http://edukg.org/knowledge/3.0/instance/politics#main-E3219>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,青少年情绪
<http://edukg.org/knowledge/3.0/instance/politics#main-E3164>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,全面小康
<http://edukg.org/knowledge/3.0/instance/politics#main-E4474>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,拥有青春
<http://edukg.org/knowledge/3.0/instance/politics#main-E262>,<http://www.w3.org/2002/07/owl#NamedIndividual>,拘留
<http://edukg.org/knowledge/3.0/instance/politics#main-E3755>,<http://www.w3.org/2002/07/owl#NamedIndividual>,诱惑
<http://edukg.org/knowledge/3.0/instance/politics#main-E559>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,自卫权
<http://edukg.org/knowledge/3.0/instance/politics#main-E1790>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,自我防范
<http://edukg.org/knowledge/3.0/instance/politics#main-E3117>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,书写信号
<http://edukg.org/knowledge/3.0/instance/politics#main-E4689>,<http://edukg.org/knowledge/3.0/class/politics#main-C34>,中华文化
<http://edukg.org/knowledge/3.0/instance/politics#main-E4603>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,文化产品
<http://edukg.org/knowledge/3.0/instance/politics#main-E2795>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,人生而平等
<http://edukg.org/knowledge/3.0/instance/politics#main-E899>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,肖像
<http://edukg.org/knowledge/3.0/instance/politics#main-E4105>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,关爱生命
<http://edukg.org/knowledge/3.0/instance/politics#main-E1065>,<http://www.w3.org/2002/07/owl#NamedIndividual>,紧张
<http://edukg.org/knowledge/3.0/instance/politics#main-E1825>,<http://www.w3.org/2002/07/owl#NamedIndividual>,未成年人保护法
<http://edukg.org/knowledge/3.0/instance/politics#main-E690>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,社会主义和谐社会
<http://edukg.org/knowledge/3.0/instance/politics#main-E4584>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,环境
<http://edukg.org/knowledge/3.0/instance/politics#main-E3168>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,转继承
<http://edukg.org/knowledge/3.0/instance/politics#main-E709>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,多种所有制经济
<http://edukg.org/knowledge/3.0/instance/politics#main-E761>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,八二宪法
<http://edukg.org/knowledge/3.0/instance/politics#main-E2768>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,自尊要适度
<http://edukg.org/knowledge/3.0/instance/politics#main-E2338>,<http://edukg.org/knowledge/3.0/class/politics#main-C9>,人民代表大会
<http://edukg.org/knowledge/3.0/instance/politics#main-E383>,<http://www.w3.org/2002/07/owl#NamedIndividual>,社会关系
<http://edukg.org/knowledge/3.0/instance/politics#main-E3724>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,国家贫困
<http://edukg.org/knowledge/3.0/instance/politics#main-E797>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,遗嘱继承
<http://edukg.org/knowledge/3.0/instance/politics#main-E2307>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,占有权
<http://edukg.org/knowledge/3.0/instance/politics#main-E4322>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,条件性
<http://edukg.org/knowledge/3.0/instance/politics#main-E646>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,社会保护
<http://edukg.org/knowledge/3.0/instance/politics#main-E3396>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,公共利益
<http://edukg.org/knowledge/3.0/instance/politics#main-E2744>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,消费
<http://edukg.org/knowledge/3.0/instance/politics#main-E755>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,心理矛盾
<http://edukg.org/knowledge/3.0/instance/politics#main-E3371>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,世界文化
<http://edukg.org/knowledge/3.0/instance/politics#main-E18>,<http://www.w3.org/2002/07/owl#NamedIndividual>,生命健康权
<http://edukg.org/knowledge/3.0/instance/politics#main-E1498>,<http://edukg.org/knowledge/3.0/class/politics#main-C9>,人民
<http://edukg.org/knowledge/3.0/instance/politics#main-E791>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,社会道德
<http://edukg.org/knowledge/3.0/instance/politics#main-E3114>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,依靠
<http://edukg.org/knowledge/3.0/instance/politics#main-E2280>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,绿色消费
<http://edukg.org/knowledge/3.0/instance/politics#main-E1140>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,增值税
<http://edukg.org/knowledge/3.0/instance/politics#main-E267>,<http://www.w3.org/2002/07/owl#NamedIndividual>,一国两制
<http://edukg.org/knowledge/3.0/instance/politics#main-E2770>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,和谐社会
<http://edukg.org/knowledge/3.0/instance/politics#main-E2481>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,我国宗教政策
<http://edukg.org/knowledge/3.0/instance/politics#main-E600>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,心态
<http://edukg.org/knowledge/3.0/instance/politics#main-E1948>,<http://www.w3.org/2002/07/owl#NamedIndividual>,侵犯姓名权
<http://edukg.org/knowledge/3.0/instance/politics#main-E1625>,<http://edukg.org/knowledge/3.0/class/politics#main-C31>,矛盾
<http://edukg.org/knowledge/3.0/instance/politics#main-E1178>,<http://www.w3.org/2002/07/owl#NamedIndividual>,为什么人生要自立
<http://edukg.org/knowledge/3.0/instance/politics#main-E3456>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,成长也会有烦恼
<http://edukg.org/knowledge/3.0/instance/politics#main-E986>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,大人讲我小时候
<http://edukg.org/knowledge/3.0/instance/politics#main-E3959>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,青少年
<http://edukg.org/knowledge/3.0/instance/politics#main-E2896>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,物质对意识
<http://edukg.org/knowledge/3.0/instance/politics#main-E2144>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,客观唯心主义
<http://edukg.org/knowledge/3.0/instance/politics#main-E978>,<http://www.w3.org/2002/07/owl#NamedIndividual>,文化借鉴
<http://edukg.org/knowledge/3.0/instance/politics#main-E2288>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,婚姻自由
<http://edukg.org/knowledge/3.0/instance/politics#main-E345>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,劳动创造文明
<http://edukg.org/knowledge/3.0/instance/politics#main-E3749>,<http://www.w3.org/2002/07/owl#NamedIndividual>,支票
<http://edukg.org/knowledge/3.0/instance/politics#main-E3968>,<http://www.w3.org/2002/07/owl#NamedIndividual>,应对挫折
<http://edukg.org/knowledge/3.0/instance/politics#main-E980>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,生产决定消费
<http://edukg.org/knowledge/3.0/instance/politics#main-E4226>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,交往沟通
<http://edukg.org/knowledge/3.0/instance/politics#main-E252>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,法律意识
<http://edukg.org/knowledge/3.0/instance/politics#main-E2831>,<http://www.w3.org/2002/07/owl#NamedIndividual>,自强不息
<http://edukg.org/knowledge/3.0/instance/politics#main-E720>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,文化素养
<http://edukg.org/knowledge/3.0/instance/politics#main-E4580>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,依赖他人
<http://edukg.org/knowledge/3.0/instance/politics#main-E3953>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,自傲
<http://edukg.org/knowledge/3.0/instance/politics#main-E437>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,品质
<http://edukg.org/knowledge/3.0/instance/politics#main-E1294>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,个人品德
<http://edukg.org/knowledge/3.0/instance/politics#main-E1355>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,学会赞美他人
<http://edukg.org/knowledge/3.0/instance/politics#main-E4175>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,货币
<http://edukg.org/knowledge/3.0/instance/politics#main-E4507>,<http://www.w3.org/2002/07/owl#NamedIndividual>,适度消费
<http://edukg.org/knowledge/3.0/instance/politics#main-E4557>,<http://www.w3.org/2002/07/owl#NamedIndividual>,我国公民
<http://edukg.org/knowledge/3.0/instance/politics#main-E979>,<http://edukg.org/knowledge/3.0/class/politics#main-C9>,人民民主专政
<http://edukg.org/knowledge/3.0/instance/politics#main-E2895>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,国际组织
<http://edukg.org/knowledge/3.0/instance/politics#main-E683>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,费尔巴哈唯物主义
<http://edukg.org/knowledge/3.0/instance/politics#main-E1968>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,道德
<http://edukg.org/knowledge/3.0/instance/politics#main-E429>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,攀比心理
<http://edukg.org/knowledge/3.0/instance/politics#main-E2704>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,老师伴我成长
<http://edukg.org/knowledge/3.0/instance/politics#main-E538>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,青藏铁路精神
<http://edukg.org/knowledge/3.0/instance/politics#main-E1867>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,节日
<http://edukg.org/knowledge/3.0/instance/politics#main-E1245>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,享受学习
<http://edukg.org/knowledge/3.0/instance/politics#main-E3100>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,应对贸易摩擦
<http://edukg.org/knowledge/3.0/instance/politics#main-E590>,<http://www.w3.org/2002/07/owl#NamedIndividual>,客观物质性
<http://edukg.org/knowledge/3.0/instance/politics#main-E3239>,<http://www.w3.org/2002/07/owl#NamedIndividual>,什么是代沟
<http://edukg.org/knowledge/3.0/instance/politics#main-E508>,<http://www.w3.org/2002/07/owl#NamedIndividual>,运动
<http://edukg.org/knowledge/3.0/instance/politics#main-E1703>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,企业破产
<http://edukg.org/knowledge/3.0/instance/politics#main-E364>,<http://www.w3.org/2002/07/owl#NamedIndividual>,自由
<http://edukg.org/knowledge/3.0/instance/politics#main-E3430>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,紧迫性
<http://edukg.org/knowledge/3.0/instance/politics#main-E558>,<http://www.w3.org/2002/07/owl#NamedIndividual>,克服逆反心理要理解
<http://edukg.org/knowledge/3.0/instance/politics#main-E4648>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,国家机关
<http://edukg.org/knowledge/3.0/instance/politics#main-E2818>,<http://www.w3.org/2002/07/owl#NamedIndividual>,全面认识自己
<http://edukg.org/knowledge/3.0/instance/politics#main-E4271>,<http://www.w3.org/2002/07/owl#NamedIndividual>,成功避险
<http://edukg.org/knowledge/3.0/instance/politics#main-E957>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,是非善恶
<http://edukg.org/knowledge/3.0/instance/politics#main-E2430>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,科技创新
<http://edukg.org/knowledge/3.0/instance/politics#main-E2163>,<http://www.w3.org/2002/07/owl#NamedIndividual>,商品交换
<http://edukg.org/knowledge/3.0/instance/politics#main-E3814>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,文化继承
<http://edukg.org/knowledge/3.0/instance/politics#main-E3614>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,挑战
<http://edukg.org/knowledge/3.0/instance/politics#main-E1915>,<http://www.w3.org/2002/07/owl#NamedIndividual>,延安精神
<http://edukg.org/knowledge/3.0/instance/politics#main-E2890>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,就业观
<http://edukg.org/knowledge/3.0/instance/politics#main-E3733>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,树立隐私意识
<http://edukg.org/knowledge/3.0/instance/politics#main-E455>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,情绪分类词语表
<http://edukg.org/knowledge/3.0/instance/politics#main-E2087>,<http://www.w3.org/2002/07/owl#NamedIndividual>,社会生活
<http://edukg.org/knowledge/3.0/instance/politics#main-E1368>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,社会必要劳动时间
<http://edukg.org/knowledge/3.0/instance/politics#main-E2315>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,职业观
<http://edukg.org/knowledge/3.0/instance/politics#main-E1167>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,弱点就是短处
<http://edukg.org/knowledge/3.0/instance/politics#main-E680>,<http://www.w3.org/2002/07/owl#NamedIndividual>,非竞争性
<http://edukg.org/knowledge/3.0/instance/politics#main-E3370>,<http://edukg.org/knowledge/3.0/class/politics#main-C15>,亲权
<http://edukg.org/knowledge/3.0/instance/politics#main-E2590>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,小康社会
<http://edukg.org/knowledge/3.0/instance/politics#main-E1533>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,形而上学
<http://edukg.org/knowledge/3.0/instance/politics#main-E3937>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,差额选举
<http://edukg.org/knowledge/3.0/instance/politics#main-E1075>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,传统师生关系
<http://edukg.org/knowledge/3.0/instance/politics#main-E4513>,<http://www.w3.org/2002/07/owl#NamedIndividual>,经济建设
<http://edukg.org/knowledge/3.0/instance/politics#main-E1585>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,大众文化
<http://edukg.org/knowledge/3.0/instance/politics#main-E2816>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,包容性
<http://edukg.org/knowledge/3.0/instance/politics#main-E1062>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,有限责任
<http://edukg.org/knowledge/3.0/instance/politics#main-E4015>,<http://edukg.org/knowledge/3.0/class/politics#main-C33>,婚姻法
<http://edukg.org/knowledge/3.0/instance/politics#main-E270>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,人人有隐私
<http://edukg.org/knowledge/3.0/instance/politics#main-E4315>,<http://edukg.org/knowledge/3.0/class/politics#main-C9>,民族平等
<http://edukg.org/knowledge/3.0/instance/politics#main-E2612>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,被继承人
<http://edukg.org/knowledge/3.0/instance/politics#main-E3799>,<http://www.w3.org/2002/07/owl#NamedIndividual>,销售者
<http://edukg.org/knowledge/3.0/instance/politics#main-E4113>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,公共场所
<http://edukg.org/knowledge/3.0/instance/politics#main-E2646>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,社会管理
<http://edukg.org/knowledge/3.0/instance/politics#main-E3920>,<http://edukg.org/knowledge/3.0/class/politics#main-C29>,社会基本矛盾运动
<http://edukg.org/knowledge/3.0/instance/politics#main-E3384>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,人情消费
<http://edukg.org/knowledge/3.0/instance/politics#main-E2650>,<http://www.w3.org/2002/07/owl#NamedIndividual>,注意场合
<http://edukg.org/knowledge/3.0/instance/politics#main-E3210>,<http://www.w3.org/2002/07/owl#NamedIndividual>,握手礼节
<http://edukg.org/knowledge/3.0/instance/politics#main-E1848>,<http://www.w3.org/2002/07/owl#NamedIndividual>,贵金属
<http://edukg.org/knowledge/3.0/instance/politics#main-E2251>,<http://edukg.org/knowledge/3.0/class/politics#main-C36>,战略性新兴产业
<http://edukg.org/knowledge/3.0/instance/politics#main-E4366>,<http://edukg.org/knowledge/3.0/class/politics#main-C0>,传统习俗
<http://edukg.org/knowledge/3.0/instance/politics#main-E2402>,<http://edukg.org/knowledge/3.0/class/politics#main-C1>,国家安全
