uri,cls,label
<http://edukg.org/knowledge/3.0/instance/physics#main-E184>,<http://www.w3.org/2002/07/owl#NamedIndividual>,牛顿环
<http://edukg.org/knowledge/3.0/instance/physics#main-E1331>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,熔化过程
<http://edukg.org/knowledge/3.0/instance/physics#main-E1175>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,奥斯特实验
<http://edukg.org/knowledge/3.0/instance/physics#main-E207>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,信息
<http://edukg.org/knowledge/3.0/instance/physics#main-E2204>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,有效数字
<http://edukg.org/knowledge/3.0/instance/physics#main-E218>,<http://www.w3.org/2002/07/owl#NamedIndividual>,汽轮机
<http://edukg.org/knowledge/3.0/instance/physics#main-E1935>,<http://www.w3.org/2002/07/owl#NamedIndividual>,动量守恒定律
<http://edukg.org/knowledge/3.0/instance/physics#main-E1366>,<http://www.w3.org/2002/07/owl#NamedIndividual>,多用电表测电阻的方法
<http://edukg.org/knowledge/3.0/instance/physics#main-E332>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,地磁南极
<http://edukg.org/knowledge/3.0/instance/physics#main-E358>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电磁波谱
<http://edukg.org/knowledge/3.0/instance/physics#main-E1376>,<http://edukg.org/knowledge/3.0/class/physics#main-C5>,库仑定律
<http://edukg.org/knowledge/3.0/instance/physics#main-E347>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电场强度
<http://edukg.org/knowledge/3.0/instance/physics#main-E2148>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,原子结构
<http://edukg.org/knowledge/3.0/instance/physics#main-E2061>,<http://edukg.org/knowledge/3.0/class/physics#main-C6>,电磁阻尼
<http://edukg.org/knowledge/3.0/instance/physics#main-E2101>,<http://www.w3.org/2002/07/owl#NamedIndividual>,学生天平
<http://edukg.org/knowledge/3.0/instance/physics#main-E505>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,化石能源
<http://edukg.org/knowledge/3.0/instance/physics#main-E2064>,<http://edukg.org/knowledge/3.0/class/physics#main-C6>,倒立的像
<http://edukg.org/knowledge/3.0/instance/physics#main-E1859>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电磁能
<http://edukg.org/knowledge/3.0/instance/physics#main-E746>,<http://edukg.org/knowledge/3.0/class/physics#main-C3>,电火花计时器
<http://edukg.org/knowledge/3.0/instance/physics#main-E2045>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电容器
<http://edukg.org/knowledge/3.0/instance/physics#main-E1476>,<http://www.w3.org/2002/07/owl#NamedIndividual>,功率
<http://edukg.org/knowledge/3.0/instance/physics#main-E2087>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电阻决定式
<http://edukg.org/knowledge/3.0/instance/physics#main-E956>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,近视眼镜
<http://edukg.org/knowledge/3.0/instance/physics#main-E897>,<http://www.w3.org/2002/07/owl#NamedIndividual>,电阻
<http://edukg.org/knowledge/3.0/instance/physics#main-E806>,<http://edukg.org/knowledge/3.0/class/physics#main-C6>,波动
<http://edukg.org/knowledge/3.0/instance/physics#main-E1571>,<http://www.w3.org/2002/07/owl#NamedIndividual>,近视眼
<http://edukg.org/knowledge/3.0/instance/physics#main-E1020>,<http://edukg.org/knowledge/3.0/class/physics#main-C8>,热量
<http://edukg.org/knowledge/3.0/instance/physics#main-E840>,<http://www.w3.org/2002/07/owl#NamedIndividual>,力
<http://edukg.org/knowledge/3.0/instance/physics#main-E338>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,黄金代换式
<http://edukg.org/knowledge/3.0/instance/physics#main-E1280>,<http://www.w3.org/2002/07/owl#NamedIndividual>,焦距
<http://edukg.org/knowledge/3.0/instance/physics#main-E1663>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,滑轮组
<http://edukg.org/knowledge/3.0/instance/physics#main-E666>,<http://www.w3.org/2002/07/owl#NamedIndividual>,失重
<http://edukg.org/knowledge/3.0/instance/physics#main-E1956>,<http://www.w3.org/2002/07/owl#NamedIndividual>,相位
<http://edukg.org/knowledge/3.0/instance/physics#main-E861>,<http://www.w3.org/2002/07/owl#NamedIndividual>,虚像
<http://edukg.org/knowledge/3.0/instance/physics#main-E1696>,<http://www.w3.org/2002/07/owl#NamedIndividual>,氟氯烃
<http://edukg.org/knowledge/3.0/instance/physics#main-E198>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,平衡力法粗测大气压值
<http://edukg.org/knowledge/3.0/instance/physics#main-E120>,<http://www.w3.org/2002/07/owl#NamedIndividual>,对心碰撞
<http://edukg.org/knowledge/3.0/instance/physics#main-E778>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,球体模型
<http://edukg.org/knowledge/3.0/instance/physics#main-E2163>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,椭圆轨道问题
<http://edukg.org/knowledge/3.0/instance/physics#main-E1729>,<http://www.w3.org/2002/07/owl#NamedIndividual>,异种电荷
<http://edukg.org/knowledge/3.0/instance/physics#main-E677>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,爱因斯坦质能方程
<http://edukg.org/knowledge/3.0/instance/physics#main-E71>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,焦点
<http://edukg.org/knowledge/3.0/instance/physics#main-E761>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,复色光
<http://edukg.org/knowledge/3.0/instance/physics#main-E151>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,获得弹力
<http://edukg.org/knowledge/3.0/instance/physics#main-E1671>,<http://www.w3.org/2002/07/owl#NamedIndividual>,压力
<http://edukg.org/knowledge/3.0/instance/physics#main-E2172>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,惯性
<http://edukg.org/knowledge/3.0/instance/physics#main-E329>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,帕斯卡原理
<http://edukg.org/knowledge/3.0/instance/physics#main-E119>,<http://edukg.org/knowledge/3.0/class/physics#main-C10>,焦
<http://edukg.org/knowledge/3.0/instance/physics#main-E384>,<http://www.w3.org/2002/07/owl#NamedIndividual>,沸点
<http://edukg.org/knowledge/3.0/instance/physics#main-E1915>,<http://edukg.org/knowledge/3.0/class/physics#main-C6>,小孔成像
<http://edukg.org/knowledge/3.0/instance/physics#main-E1341>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,人眼成像的原理
<http://edukg.org/knowledge/3.0/instance/physics#main-E1422>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,恒星
<http://edukg.org/knowledge/3.0/instance/physics#main-E466>,<http://www.w3.org/2002/07/owl#NamedIndividual>,体积（V）
<http://edukg.org/knowledge/3.0/instance/physics#main-E170>,<http://www.w3.org/2002/07/owl#NamedIndividual>,火车转弯问题
<http://edukg.org/knowledge/3.0/instance/physics#main-E1177>,<http://www.w3.org/2002/07/owl#NamedIndividual>,焦度
<http://edukg.org/knowledge/3.0/instance/physics#main-E1347>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,压强
<http://edukg.org/knowledge/3.0/instance/physics#main-E263>,<http://edukg.org/knowledge/3.0/class/physics#main-C6>,上浮
<http://edukg.org/knowledge/3.0/instance/physics#main-E1260>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,磁通量变化量
<http://edukg.org/knowledge/3.0/instance/physics#main-E469>,<http://edukg.org/knowledge/3.0/class/physics#main-C11>,平衡力
<http://edukg.org/knowledge/3.0/instance/physics#main-E1645>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,能量守恒中连接体问题
<http://edukg.org/knowledge/3.0/instance/physics#main-E1389>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,宇宙
<http://edukg.org/knowledge/3.0/instance/physics#main-E1488>,<http://www.w3.org/2002/07/owl#NamedIndividual>,力的图示
<http://edukg.org/knowledge/3.0/instance/physics#main-E2097>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,热机
<http://edukg.org/knowledge/3.0/instance/physics#main-E1868>,<http://www.w3.org/2002/07/owl#NamedIndividual>,机械运动
<http://edukg.org/knowledge/3.0/instance/physics#main-E889>,<http://www.w3.org/2002/07/owl#NamedIndividual>,激光
<http://edukg.org/knowledge/3.0/instance/physics#main-E1421>,<http://www.w3.org/2002/07/owl#NamedIndividual>,电压表
<http://edukg.org/knowledge/3.0/instance/physics#main-E763>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,大海为什么是蓝色的
<http://edukg.org/knowledge/3.0/instance/physics#main-E1912>,<http://edukg.org/knowledge/3.0/class/physics#main-C12>,简谐运动
<http://edukg.org/knowledge/3.0/instance/physics#main-E851>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,家庭电路电压
<http://edukg.org/knowledge/3.0/instance/physics#main-E1038>,<http://www.w3.org/2002/07/owl#NamedIndividual>,转换法
<http://edukg.org/knowledge/3.0/instance/physics#main-E1505>,<http://www.w3.org/2002/07/owl#NamedIndividual>,感生电动势
<http://edukg.org/knowledge/3.0/instance/physics#main-E501>,<http://www.w3.org/2002/07/owl#NamedIndividual>,正交分解法
<http://edukg.org/knowledge/3.0/instance/physics#main-E1755>,<http://www.w3.org/2002/07/owl#NamedIndividual>,坐标系
<http://edukg.org/knowledge/3.0/instance/physics#main-E290>,<http://www.w3.org/2002/07/owl#NamedIndividual>,可变电阻
<http://edukg.org/knowledge/3.0/instance/physics#main-E1303>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,合成法与分解法
<http://edukg.org/knowledge/3.0/instance/physics#main-E1338>,<http://edukg.org/knowledge/3.0/class/physics#main-C6>,静电偏转
<http://edukg.org/knowledge/3.0/instance/physics#main-E175>,<http://www.w3.org/2002/07/owl#NamedIndividual>,微波炉
<http://edukg.org/knowledge/3.0/instance/physics#main-E2106>,<http://www.w3.org/2002/07/owl#NamedIndividual>,实际功率
<http://edukg.org/knowledge/3.0/instance/physics#main-E579>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电
<http://edukg.org/knowledge/3.0/instance/physics#main-E1160>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,摄像机
<http://edukg.org/knowledge/3.0/instance/physics#main-E492>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,电工
<http://edukg.org/knowledge/3.0/instance/physics#main-E453>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电功
<http://edukg.org/knowledge/3.0/instance/physics#main-E598>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,灵敏电流计串联电阻
<http://edukg.org/knowledge/3.0/instance/physics#main-E2147>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,望远镜物镜
<http://edukg.org/knowledge/3.0/instance/physics#main-E1546>,<http://www.w3.org/2002/07/owl#NamedIndividual>,爆炸
<http://edukg.org/knowledge/3.0/instance/physics#main-E1039>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,效果分解
<http://edukg.org/knowledge/3.0/instance/physics#main-E735>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,火灾报警器
<http://edukg.org/knowledge/3.0/instance/physics#main-E1808>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,桥梁
<http://edukg.org/knowledge/3.0/instance/physics#main-E1024>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,漂浮
<http://edukg.org/knowledge/3.0/instance/physics#main-E527>,<http://www.w3.org/2002/07/owl#NamedIndividual>,移位法
<http://edukg.org/knowledge/3.0/instance/physics#main-E1381>,<http://www.w3.org/2002/07/owl#NamedIndividual>,声音
<http://edukg.org/knowledge/3.0/instance/physics#main-E206>,<http://edukg.org/knowledge/3.0/class/physics#main-C3>,调压变压器
<http://edukg.org/knowledge/3.0/instance/physics#main-E1182>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,偶然误差
<http://edukg.org/knowledge/3.0/instance/physics#main-E905>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,温标
<http://edukg.org/knowledge/3.0/instance/physics#main-E2046>,<http://www.w3.org/2002/07/owl#NamedIndividual>,信息技术
<http://edukg.org/knowledge/3.0/instance/physics#main-E1377>,<http://www.w3.org/2002/07/owl#NamedIndividual>,共振
<http://edukg.org/knowledge/3.0/instance/physics#main-E1386>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,闸刀开关
<http://edukg.org/knowledge/3.0/instance/physics#main-E1056>,<http://www.w3.org/2002/07/owl#NamedIndividual>,重力
<http://edukg.org/knowledge/3.0/instance/physics#main-E1581>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电磁铁
<http://edukg.org/knowledge/3.0/instance/physics#main-E662>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,法线
<http://edukg.org/knowledge/3.0/instance/physics#main-E404>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,光强
<http://edukg.org/knowledge/3.0/instance/physics#main-E1596>,<http://www.w3.org/2002/07/owl#NamedIndividual>,放热现象
<http://edukg.org/knowledge/3.0/instance/physics#main-E337>,<http://edukg.org/knowledge/3.0/class/physics#main-C6>,凝固
<http://edukg.org/knowledge/3.0/instance/physics#main-E914>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,控制变量法
<http://edukg.org/knowledge/3.0/instance/physics#main-E874>,<http://www.w3.org/2002/07/owl#NamedIndividual>,核子数
<http://edukg.org/knowledge/3.0/instance/physics#main-E1752>,<http://www.w3.org/2002/07/owl#NamedIndividual>,电烙铁
<http://edukg.org/knowledge/3.0/instance/physics#main-E1792>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,波粒二象性
<http://edukg.org/knowledge/3.0/instance/physics#main-E57>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电场力
<http://edukg.org/knowledge/3.0/instance/physics#main-E1849>,<http://www.w3.org/2002/07/owl#NamedIndividual>,宇宙起源
<http://edukg.org/knowledge/3.0/instance/physics#main-E1852>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,质点
<http://edukg.org/knowledge/3.0/instance/physics#main-E902>,<http://www.w3.org/2002/07/owl#NamedIndividual>,支持法找物体重心
<http://edukg.org/knowledge/3.0/instance/physics#main-E2100>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,能
<http://edukg.org/knowledge/3.0/instance/physics#main-E2103>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,同种电荷
<http://edukg.org/knowledge/3.0/instance/physics#main-E1205>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,近视镜
<http://edukg.org/knowledge/3.0/instance/physics#main-E1749>,<http://edukg.org/knowledge/3.0/class/physics#main-C16>,匀强电场
<http://edukg.org/knowledge/3.0/instance/physics#main-E2002>,<http://edukg.org/knowledge/3.0/class/physics#main-C3>,多用电表
<http://edukg.org/knowledge/3.0/instance/physics#main-E367>,<http://www.w3.org/2002/07/owl#NamedIndividual>,加速度
<http://edukg.org/knowledge/3.0/instance/physics#main-E856>,<http://www.w3.org/2002/07/owl#NamedIndividual>,显像管
<http://edukg.org/knowledge/3.0/instance/physics#main-E1484>,<http://edukg.org/knowledge/3.0/class/physics#main-C6>,不浸润
<http://edukg.org/knowledge/3.0/instance/physics#main-E1782>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,牛顿·秒
<http://edukg.org/knowledge/3.0/instance/physics#main-E782>,<http://www.w3.org/2002/07/owl#NamedIndividual>,平抛运动
<http://edukg.org/knowledge/3.0/instance/physics#main-E1740>,<http://edukg.org/knowledge/3.0/class/physics#main-C10>,秒
<http://edukg.org/knowledge/3.0/instance/physics#main-E1704>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,噪声武器
<http://edukg.org/knowledge/3.0/instance/physics#main-E766>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,做功冲程
<http://edukg.org/knowledge/3.0/instance/physics#main-E401>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,分子运动规律
<http://edukg.org/knowledge/3.0/instance/physics#main-E491>,<http://edukg.org/knowledge/3.0/class/physics#main-C4>,累积法
<http://edukg.org/knowledge/3.0/instance/physics#main-E697>,<http://www.w3.org/2002/07/owl#NamedIndividual>,可再生能源
<http://edukg.org/knowledge/3.0/instance/physics#main-E179>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,变速箱
<http://edukg.org/knowledge/3.0/instance/physics#main-E539>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,动量变化
<http://edukg.org/knowledge/3.0/instance/physics#main-E720>,<http://edukg.org/knowledge/3.0/class/physics#main-C3>,不准确温度计
<http://edukg.org/knowledge/3.0/instance/physics#main-E1979>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,位移图像
<http://edukg.org/knowledge/3.0/instance/physics#main-E1687>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,开路
<http://edukg.org/knowledge/3.0/instance/physics#main-E1140>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,热核反应
<http://edukg.org/knowledge/3.0/instance/physics#main-E1668>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,广义相对论
<http://edukg.org/knowledge/3.0/instance/physics#main-E634>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,家庭电路
<http://edukg.org/knowledge/3.0/instance/physics#main-E1855>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,系统误差
<http://edukg.org/knowledge/3.0/instance/physics#main-E1461>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,空间站
<http://edukg.org/knowledge/3.0/instance/physics#main-E16>,<http://www.w3.org/2002/07/owl#NamedIndividual>,化暗为明法
<http://edukg.org/knowledge/3.0/instance/physics#main-E1851>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,I-U特性曲线
<http://edukg.org/knowledge/3.0/instance/physics#main-E2080>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,三星系统模型
<http://edukg.org/knowledge/3.0/instance/physics#main-E49>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,汽化
<http://edukg.org/knowledge/3.0/instance/physics#main-E1330>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,人造卫星
<http://edukg.org/knowledge/3.0/instance/physics#main-E686>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,频率
<http://edukg.org/knowledge/3.0/instance/physics#main-E2122>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,眼睛
<http://edukg.org/knowledge/3.0/instance/physics#main-E229>,<http://www.w3.org/2002/07/owl#NamedIndividual>,空气变成液体
<http://edukg.org/knowledge/3.0/instance/physics#main-E963>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,塑性
<http://edukg.org/knowledge/3.0/instance/physics#main-E0>,<http://www.w3.org/2002/07/owl#NamedIndividual>,热力学第一定律
<http://edukg.org/knowledge/3.0/instance/physics#main-E46>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,可燃气体
<http://edukg.org/knowledge/3.0/instance/physics#main-E613>,<http://www.w3.org/2002/07/owl#NamedIndividual>,波速
<http://edukg.org/knowledge/3.0/instance/physics#main-E934>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,电磁感应现象
<http://edukg.org/knowledge/3.0/instance/physics#main-E181>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,磁化
<http://edukg.org/knowledge/3.0/instance/physics#main-E768>,<http://www.w3.org/2002/07/owl#NamedIndividual>,目镜
<http://edukg.org/knowledge/3.0/instance/physics#main-E1245>,<http://www.w3.org/2002/07/owl#NamedIndividual>,绝对温标
<http://edukg.org/knowledge/3.0/instance/physics#main-E339>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,比较动能大小
<http://edukg.org/knowledge/3.0/instance/physics#main-E819>,<http://www.w3.org/2002/07/owl#NamedIndividual>,单色光
<http://edukg.org/knowledge/3.0/instance/physics#main-E2005>,<http://www.w3.org/2002/07/owl#NamedIndividual>,变速直线运动
<http://edukg.org/knowledge/3.0/instance/physics#main-E127>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,原子核
<http://edukg.org/knowledge/3.0/instance/physics#main-E273>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,验证动量守恒定律
<http://edukg.org/knowledge/3.0/instance/physics#main-E268>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,台秤
<http://edukg.org/knowledge/3.0/instance/physics#main-E1793>,<http://www.w3.org/2002/07/owl#NamedIndividual>,时间
<http://edukg.org/knowledge/3.0/instance/physics#main-E80>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,农药喷雾器
<http://edukg.org/knowledge/3.0/instance/physics#main-E145>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,形变
<http://edukg.org/knowledge/3.0/instance/physics#main-E1298>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,集成块
<http://edukg.org/knowledge/3.0/instance/physics#main-E1113>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,放射治疗
<http://edukg.org/knowledge/3.0/instance/physics#main-E2004>,<http://edukg.org/knowledge/3.0/class/physics#main-C18>,变速自行车
<http://edukg.org/knowledge/3.0/instance/physics#main-E1557>,<http://www.w3.org/2002/07/owl#NamedIndividual>,光电效应
<http://edukg.org/knowledge/3.0/instance/physics#main-E91>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,物质波
<http://edukg.org/knowledge/3.0/instance/physics#main-E1174>,<http://edukg.org/knowledge/3.0/class/physics#main-C10>,千克每立方米
<http://edukg.org/knowledge/3.0/instance/physics#main-E2120>,<http://edukg.org/knowledge/3.0/class/physics#main-C8>,机械效率
<http://edukg.org/knowledge/3.0/instance/physics#main-E509>,<http://www.w3.org/2002/07/owl#NamedIndividual>,转动变平动
<http://edukg.org/knowledge/3.0/instance/physics#main-E729>,<http://www.w3.org/2002/07/owl#NamedIndividual>,电动势
<http://edukg.org/knowledge/3.0/instance/physics#main-E25>,<http://www.w3.org/2002/07/owl#NamedIndividual>,洗衣机
<http://edukg.org/knowledge/3.0/instance/physics#main-E906>,<http://www.w3.org/2002/07/owl#NamedIndividual>,计算机磁盘驱动器
<http://edukg.org/knowledge/3.0/instance/physics#main-E1479>,<http://www.w3.org/2002/07/owl#NamedIndividual>,洛伦兹力
<http://edukg.org/knowledge/3.0/instance/physics#main-E1438>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,微重力条件
<http://edukg.org/knowledge/3.0/instance/physics#main-E1695>,<http://www.w3.org/2002/07/owl#NamedIndividual>,电阻箱
<http://edukg.org/knowledge/3.0/instance/physics#main-E841>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,普通白炽灯
<http://edukg.org/knowledge/3.0/instance/physics#main-E489>,<http://www.w3.org/2002/07/owl#NamedIndividual>,同侧法
<http://edukg.org/knowledge/3.0/instance/physics#main-E1968>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,白光
<http://edukg.org/knowledge/3.0/instance/physics#main-E1679>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,弹性
<http://edukg.org/knowledge/3.0/instance/physics#main-E2091>,<http://edukg.org/knowledge/3.0/class/physics#main-C7>,燃料
<http://edukg.org/knowledge/3.0/instance/physics#main-E1248>,<http://edukg.org/knowledge/3.0/class/physics#main-C0>,磁感应强度
<http://edukg.org/knowledge/3.0/instance/physics#main-E1295>,<http://www.w3.org/2002/07/owl#NamedIndividual>,光致激发
